,text,conv_id,conv_title,conv_awry,no.,plutchik_emotion1,plutchik_emotion2,plutchik_emotion3,emowordnet_afraid_score,emowordnet_amused_score,emowordnet_angry_score,emowordnet_annoyed_score,emowordnet_dontcare_score,emowordnet_happy_score,emowordnet_inspired_score,emowordnet_sad_score
0,This kind of stuff dosen't get sent around enough so the bad seems to build up and overpower the good. I have always had a great deal of respect for your decision making abilities. The case you tried to solve was a difficult and contentious one and I fully support you walking away from it without reaching strong conclusion. You are a bigger man for doing so. I tried to figure out who was right but also got fully frusterated by the intracasies of what must have been going on for years. Please don't think less of yourself or let the slings and arrows of whomever is shooting at you hit. You are a good and valuable contributor and problem solver. -,100009118.8296.8296,User talk:Hiding,True,1,admiration,optimism,admiration,0.07819389850746268,0.1137235952238806,0.07927062919402986,0.09788938731343284,0.10359950180597012,0.12411168976119398,0.15068770061194026,0.10326986638805973
1,*Look I really appreciate your words but right this second and believe me this isn't easy to write it isn't enough. I've been building all this up for ages because we have this good faith idea and we have this idea of being civil and it makes it so hard to vent. I really don't think the community values problem solvers anymore because every single decision made on Wikipedia is now open to review on so many counts it has become an institutionalised bureaucracy. Consideration is seriously undervalued on Wikipedia and I don't really see a way of improving it. I know in my own head I haven't got the make up to go rouge but I also know I can't be chipped at forever. I'm fed up to my high teeth of all the back biting.,100009118.8296.8296,User talk:Hiding,True,2,annoyance,serenity,disgust,0.08172966571232877,0.13542758989041093,0.09785397312328771,0.11834546172602736,0.11726684908219173,0.12720725030136984,0.15808119649315075,0.09559486300000003
2,** The 'community' is shit. The part of the community that you care about - the people who want to empower other people to write an encyclopedia values problem solvers. We really do - I promise. Decisions on wikipedia are reviewed by people who believe it is an institutionalised bureaucracy and then the decisions are actually made the way they should be - by people who get it. I *know* it dosen't feel that way for you *right now* - and it didn't feel that way for me [external_link] but and not to put too agressive of a spin on it - we are/were wrong. Who is biting your back? Some putrid little troll? Some ultra-inclusionist Wikipedia Review kibitzer? An Encyclopedia Dramatica internet whore? I know it's impossible to ignore them (I've tried and failed) but it's not hard to pretend to ignore them and it's really really satisfying. Create a legitmate sockpuppet and start fixing random articles or just walk away. While we need you we don't need you right now and you don't need us. Do you play Chess World of Warcraft or Battlefield 2142? I'll let you win or lose at any of them - your call. -,100009118.8296.8296,User talk:Hiding,True,3,anger,annoyance,disgust,0.0722914852037037,0.11051609282407411,0.0703307968703704,0.09009592114814807,0.0982268190555555,0.10574134237037038,0.14012872662962964,0.09044659365740738
3,What action do you recommend for edits such as those by 64.91.7.138?,109231098.1164.1164,User talk:SpuriousQ,False,1,none,anticipation,serenity,0.07013338420000001,0.0722536072,0.0821430268,0.07929319,0.074172613,0.0848687516,0.073750363,0.06338506420000001
4,Normally revert and warn. But it's an IP and the edits took place so long ago that it's possible someone else is using that address so in this case there's nothing really to be done. See [wiki_link] for some more general guidelines on how to deal with vandalism. -,109231098.1164.1164,User talk:SpuriousQ,False,2,none,serenity,pensiveness,0.11175815751999997,0.1308574818,0.11246962919999999,0.10334926103999999,0.10956426256,0.10329386007999998,0.12308304307999998,0.08562430464
5,Thanks I've bookmarked your link for the next such writer.,109231098.1164.1164,User talk:SpuriousQ,False,3,joy,acceptance,optimism,0.06097682828571429,0.11232234185714285,0.05360580142857143,0.09003461471428571,0.10892974642857144,0.10013701814285714,0.12678483000000002,0.061494534000000003
6,Currently the text of '[wiki_link]' seems really to be about prehistoric Iberia. Similarly the text of '[wiki_link]' seems really to be about the same thing. This would be perfectly understandable seeing as there was no Spain and no Portugal in prehistoric times. I have argued therefore that it would be best to have these articles merged under a title which indicates the geographical region rather than the modern states. I have proposed the articles be merged and moved to '[wiki_link]'. Please [wiki_link] my proposal. [wiki_link],109266893.1218.1218,Talk:Iberian Peninsula,False,1,anticipation,serenity,none,0.08661220415217392,0.11622127026086955,0.09296812432608695,0.10028242463043475,0.10786342032608692,0.12656240217391304,0.11456177813043478,0.08101533239130436
7,Hello Jim. If the merge goes through what shall we do with [wiki_link]? You see [wiki_link] encompasses a period that the 'Portuguese' articles differentiated into [wiki_link] and [wiki_link]. Should we merge them all?,109266893.1218.1218,Talk:Iberian Peninsula,False,2,submission,interest,interest,0.04313949578947368,0.07267464931578947,0.05756770421052631,0.07242569968421053,0.06647652773684211,0.06561262678947369,0.05387437936842105,0.04191312763157894
8,I think a single Prehistoric Iberia makes a lot of sense - merge them all!,109266893.1218.1218,Talk:Iberian Peninsula,False,3,optimism,optimism,trust,0.10000357977777778,0.133091242,0.08402501644444443,0.103619765,0.12041688311111111,0.2281577232222222,0.15628939344444445,0.07439639711111111
9,For fixing the revert on Evolution. I saw I hadn't gone far enough but lag... ah well.,109823148.2068.2068,User talk:SpuriousQ,True,1,annoyance,disgust,terror,0.07293017514285714,0.11638269557142857,0.09883733707142857,0.1173637167142857,0.0778697102857143,0.1031421685,0.10698080907142857,0.09220767357142855
